"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"151",13,"THOC2",45,59
"152",13,"THOC2",90,636
"153",13,"THOC2",95,857
"154",13,"THOC2",100,1822
"155",13,"THOC2",105,821
"156",13,"THOC2",110,2077
"157",13,"THOC2",120,1360
"158",13,"THOC2",130,1774
"159",14,"ABBA",15,1
"160",14,"ABBA",50,137
"161",14,"ABBA",55,333
"162",14,"BEPA",40,171
"163",14,"BEPA",50,757
"164",14,"BEPA",55,2078
"165",14,"BEPA",60,2889
"166",14,"BEPA",65,551
"167",14,"BEPA",75,746
"168",14,"PIGL",50,338
"169",14,"PIGL",65,624
"170",14,"PIGL",70,742
"171",14,"POTR5",5,1
"172",14,"POTR5",75,1327
"173",14,"Shrub",5,87
"174",14,"SODE3",5,1
"175",14,"THOC2",35,10
"176",15,"ABBA",15,85
"177",15,"PIGL",10,1
"178",15,"PIGL",45,264
"179",15,"POTR5",5,1
"180",15,"Shrub",5,119
"181",15,"Shrub",10,1
"182",16,"ABBA",10,1
"183",16,"ACRU",10,1
"184",16,"ALIN2",10,462
"185",16,"BEPA",10,1
"186",16,"PIMA",30,1
"187",16,"PIMA",40,1
"188",16,"PIST",5,1
"189",16,"Shrub",5,9
"190",16,"SODE3",5,1
"191",16,"THOC2",35,10
"192",16,"THOC2",90,284
"193",16,"THOC2",95,470
"194",17,"ABBA",15,1
"195",17,"ALIN2",10,462
"196",17,"BEPA",85,2298
"197",17,"BEPA",90,1654
"198",17,"PIGL",75,1248
"199",17,"POBA2",55,349
"200",17,"POBA2",60,539
"201",17,"POBA2",95,4837
"202",17,"Shrub",5,224
"203",18,"ABBA",40,119
"204",18,"ABBA",45,114
"205",18,"ABBA",55,479
"206",18,"ABBA",60,524
"207",18,"ACRU",5,1
"208",18,"ALIN2",5,10
"209",18,"BEPA",10,1
"210",18,"PIGL",45,231
"211",18,"PIGL",60,1657
"212",18,"Shrub",5,10
"213",18,"SODE3",5,1
"214",19,"ABBA",55,256
"215",19,"PIMA",30,1
"216",19,"Shrub",5,102
"217",19,"SODE3",5,10
"218",20,"ABBA",15,85
"219",20,"ACSP2",10,1
"220",20,"BEPA",55,599
"221",20,"BEPA",60,440
"222",20,"BEPA",65,494
"223",20,"PIGL",10,85
"224",20,"PIGL",25,67
"225",20,"PIGL",35,147
"226",20,"PIGL",40,547
"227",20,"PIGL",50,300
"228",20,"PIGL",65,681
"229",20,"PIGL",70,871
"230",20,"PIGL",75,1953
"231",20,"PIGL",80,1704
"232",20,"Shrub",5,7
"233",20,"SODE3",5,1
"234",21,"ABBA",15,85
"235",21,"PIBA2",60,453
"236",21,"PIBA2",75,914
"237",21,"PIGL",75,940
"238",21,"PIMA",40,220
"239",21,"PIMA",50,680
"240",21,"PIMA",55,147
"241",21,"PIMA",60,519
"242",21,"PIMA",65,664
"243",21,"PIMA",70,264
"244",21,"PIMA",75,901
"245",21,"PIMA",85,845
"246",21,"PIMA",100,569
"247",21,"Shrub",5,6
"248",21,"SODE3",5,1
"249",22,"ABBA",15,85
"250",22,"BEPA",60,440
"251",22,"BEPA",65,551
"252",22,"PIBA2",30,189
"253",22,"PIBA2",35,308
"254",22,"PIBA2",40,313
"255",22,"PIBA2",45,421
"256",22,"PIBA2",50,582
"257",22,"PIBA2",55,367
"258",22,"PIGL",10,1
"259",22,"PIMA",40,153
"260",22,"PIMA",60,346
"261",22,"PIMA",65,231
"262",22,"PIMA",70,264
"263",22,"Shrub",5,172
"264",22,"SODE3",5,1
"265",23,"ALIN2",10,85
"266",23,"Shrub",5,1
"267",25,"ABBA",15,85
"268",25,"ABBA",50,137
"269",25,"PIGL",10,10
"270",25,"PIGL",70,871
"271",25,"POTR5",30,83
"272",25,"POTR5",40,149
"273",25,"POTR5",55,1026
"274",25,"POTR5",60,1189
"275",25,"POTR5",75,1327
"276",25,"Shrub",5,23
"277",25,"SODE3",5,1
"278",26,"ABBA",15,10
"279",26,"PIGL",10,85
"280",26,"PIGL",25,67
"281",26,"PIGL",35,123
"282",26,"PIGL",40,374
"283",26,"PIGL",45,231
"284",26,"PIGL",50,677
"285",26,"PIGL",55,379
"286",26,"PIGL",60,1035
"287",26,"PIGL",75,1881
"288",26,"Shrub",5,160
"289",27,"ABBA",15,85
"290",27,"ABBA",40,119
"291",27,"ABBA",45,75
"292",27,"ABBA",50,137
"293",27,"BEPA",50,189
"294",27,"BEPA",55,559
"295",27,"BEPA",60,390
"296",27,"BEPA",65,1540
"297",27,"BEPA",70,1291
"298",27,"BEPA",75,746
"299",27,"BEPA",80,2036
"300",27,"PIGL",25,67
"301",27,"PIGL",45,231
"302",27,"PIGL",50,977
"303",27,"PIGL",70,805
"304",27,"POTR5",80,1718
"305",27,"POTR5",85,1936
"306",27,"Shrub",5,80
"307",27,"SODE3",5,10
"308",28,"ABBA",15,85
"309",28,"BEPA",50,189
"310",28,"BEPA",55,259
"311",28,"PIGL",10,85
"312",28,"PIGL",25,134
"313",28,"PIGL",30,289
"314",28,"PIGL",35,271
"315",28,"PIGL",40,575
"316",28,"PIGL",50,300
"317",28,"PIGL",55,379
"318",28,"POTR5",5,10
"319",28,"POTR5",55,539
