#ppt,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1999-12-23T00:00:00Z,0.4008547,2.6119953,1.6161668
1999-12-24T00:00:00Z,0,0,0
1999-12-25T00:00:00Z,0.03846154,1.0145889,1.007268
1999-12-26T00:00:00Z,0.8786325,7.3936045,2.7191183
1999-12-27T00:00:00Z,1.0367521,2.1482464,1.4656897
1999-12-28T00:00:00Z,2.0222223,13.19157,3.6320204
1999-12-29T00:00:00Z,2.8222222,29.467434,5.428391
1999-12-30T00:00:00Z,0.6128205,7.83687,2.799441
1999-12-31T00:00:00Z,0.5846154,4.2175066,2.0536569
2000-01-01T00:00:00Z,0.30683762,5.478043,2.340522
2000-01-02T00:00:00Z,3.2478633,157.06204,12.532439
2000-01-03T00:00:00Z,0.033333335,0.8965517,0.9468642
2000-01-04T00:00:00Z,0.274359,1.7440319,1.320618
2000-01-05T00:00:00Z,2.4529915,15.71677,3.964438
2000-01-06T00:00:00Z,2.4358974,7.766578,2.786858
2000-01-07T00:00:00Z,1.2589743,7.157825,2.675411
2000-01-08T00:00:00Z,0.565812,4.1234896,2.0306377
2000-01-09T00:00:00Z,2.1393163,7.4130565,2.7226928
2000-01-10T00:00:00Z,8.245299,85.353374,9.238689
2000-01-11T00:00:00Z,0.8,0.7413793,0.8610339
2000-01-12T00:00:00Z,0.7205128,1.9920424,1.4113973
2000-01-13T00:00:00Z,0.025641026,0.70954906,0.8423474
2000-01-14T00:00:00Z,0.12222222,3.605364,1.8987796
2000-01-15T00:00:00Z,1.0931624,80.84011,8.991113
2000-01-16T00:00:00Z,0.14957266,5.9762746,2.444642
2000-01-17T00:00:00Z,2.8042736,41.40333,6.434542
2000-01-18T00:00:00Z,2.2615385,8.187003,2.861294
2000-01-19T00:00:00Z,0.6871795,1.3023873,1.1412218
2000-01-20T00:00:00Z,1.3068376,4.9780432,2.2311528
2000-01-21T00:00:00Z,0.42735043,10.872827,3.297397
2000-01-22T00:00:00Z,2.5854702,32.590774,5.7088333
2000-01-23T00:00:00Z,0.9119658,6.520041,2.553437
2000-01-24T00:00:00Z,0.73846155,0.9111406,0.9545369
2000-01-25T00:00:00Z,0.7777778,1.7950192,1.3397832
2000-01-26T00:00:00Z,0.08034188,2.366195,1.5382442
2000-01-27T00:00:00Z,0,0,0
2000-01-28T00:00:00Z,0,0,0
2000-01-29T00:00:00Z,0,0,0
2000-01-30T00:00:00Z,0,0,0
2000-01-31T00:00:00Z,0.734188,1.830386,1.3529176
2000-02-01T00:00:00Z,0.06837607,1.8732686,1.368674
2000-02-02T00:00:00Z,1.9316239,17.131889,4.1390687
2000-02-03T00:00:00Z,2.9863248,2.5673445,1.6022936
2000-02-04T00:00:00Z,0,0,0
